item_name
Command Aspect Core
Void Aspect Core
Air Aspect Core
Fire Aspect Core
Earth Aspect Core
Water Aspect Core
Shadow Aspect Core
Poison Aspect Core
Blood Aspect Core
Death Aspect Core
Aether Aspect Core
Fortune Aspect Core
Holy Aspect Core
Eldritch Aspect Core
Vampiric Aspect Core
Artisan Aspect Core
Lyrics Aspect Core
Discord Aspect Core
Harvest Aspect Core
Experience Aspect Core
Command Aspect Extract
Void Aspect Extract
Air Aspect Extract
Fire Aspect Extract
Command Aspect Distill
Void Aspect Distill
Air Aspect Distill
Fire Aspect Distill
